class1,class2,domain1,domain2,GT,GT_ratio_order,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,acc_root_majority_wikidata,acc_root_ttest_majority_wikidata,acc_root_ttest_wikidata,acc_root_majority_coqex,acc_root_ttest_coqex,acc_root_ttest_majority_coqex,acc_root_majority_gpt3,acc_root_ttest_gpt3,acc_root_ttest_majority_gpt3,acc_majority_root_majority,acc_majority_root_majority_ttest,acc_majority_root_ttest,acc_supervised_root_maj_ttest,acc_supervised_root_majority,acc_supervised_root_ttest
castle,observatory,geographical_entity,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
castle,skyscraper,geographical_entity,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
castle,spacecraft,geographical_entity,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
city,formula one circuit,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
dam,industrial robot,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
desert,helicopter,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
desert,merchant ship,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
highway,space station,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
highway,wind turbine,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
island,industrial robot,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
national park,industrial robot,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
national park,wind turbine,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
nuclear power plant,helicopter,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
nuclear power plant,merchant ship,geographical_entity,man-made_object,-1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,
nuclear power plant,space station,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
river,observatory,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
volcano,formula one circuit,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
volcano,industrial robot,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
world heritage site,space station,geographical_entity,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
world heritage site,wind turbine,geographical_entity,man-made_object,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
zoo,industrial robot,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
airport,animation studio,geographical_entity,organization,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
ancient civilization,publisher,geographical_entity,organization,-1,2,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,,,
ancient civilization,university,geographical_entity,organization,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
castle,airline,geographical_entity,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
castle,coal power plant,geographical_entity,organization,1,2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,,,
castle,conglomerate,geographical_entity,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
castle,football club,geographical_entity,organization,1,2,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,,,
desert,bank,geographical_entity,organization,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
desert,university,geographical_entity,organization,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
highway,fast food restaurant,geographical_entity,organization,-1,2,1,,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
highway,hospital,geographical_entity,organization,-1,2,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,,,
highway,public library,geographical_entity,organization,-1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,,,
highway,travel agency,geographical_entity,organization,-1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
island,cooperative,geographical_entity,organization,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
island,fast food restaurant,geographical_entity,organization,-1,2,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
lake,bank,geographical_entity,organization,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
lake,hospital,geographical_entity,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
lake,travel agency,geographical_entity,organization,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
lake,university,geographical_entity,organization,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
national park,cooperative,geographical_entity,organization,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
national park,fast food restaurant,geographical_entity,organization,-1,2,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
nuclear power plant,bank,geographical_entity,organization,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
nuclear power plant,public library,geographical_entity,organization,-1,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,,,
nuclear power plant,travel agency,geographical_entity,organization,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
river,animation studio,geographical_entity,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
river,coal power plant,geographical_entity,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
river,cryptocurrency exchange,geographical_entity,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
river,tea company,geographical_entity,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
volcano,cooperative,geographical_entity,organization,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
world heritage site,fast food restaurant,geographical_entity,organization,-1,2,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,,,
world heritage site,hospital,geographical_entity,organization,-1,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,,,
world heritage site,public library,geographical_entity,organization,-1,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,,,
zoo,cooperative,geographical_entity,organization,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
bicycle,industrial robot,man-made_object,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
formula one circuit,merchant ship,man-made_object,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
helicopter,formula one circuit,man-made_object,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
helicopter,percussion instrument,man-made_object,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
merchant ship,percussion instrument,man-made_object,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
observatory,wind turbine,man-made_object,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
oil tanker,formula one circuit,man-made_object,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
oil tanker,industrial robot,man-made_object,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
skyscraper,industrial robot,man-made_object,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
space station,observatory,man-made_object,man-made_object,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
space station,submarine,man-made_object,man-made_object,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
submarine,helicopter,man-made_object,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
submarine,merchant ship,man-made_object,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
wind turbine,percussion instrument,man-made_object,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
actor,animation feature film,occupation,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
actor,play,occupation,creative_work,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
actor,website,occupation,creative_work,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
airline pilot,book,occupation,creative_work,-1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
airline pilot,song,occupation,creative_work,-1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
architect,play,occupation,creative_work,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
architect,website,occupation,creative_work,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
astronaut,board game,occupation,creative_work,-1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
astronaut,painting,occupation,creative_work,-1,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,,,
dentist,animation feature film,occupation,creative_work,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
fashion designer,national dance,occupation,creative_work,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
fashion designer,scientific paper,occupation,creative_work,-1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,,
fashion designer,technological invention,occupation,creative_work,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
journalist,book,occupation,creative_work,-1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
journalist,scientific paper,occupation,creative_work,-1,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,
journalist,song,occupation,creative_work,-1,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,
lawyer,animation feature film,occupation,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,play,occupation,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,website,occupation,creative_work,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
NBA player,film,occupation,creative_work,-1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
NBA player,patent,occupation,creative_work,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
NBA player,religious text,occupation,creative_work,1,2,1,0,,0,0,0,1,1,1,0,0,0,0,0,0,,,
nurse,board game,occupation,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
nurse,painting,occupation,creative_work,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
physicist,scientific paper,occupation,creative_work,-1,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,
physicist,song,occupation,creative_work,-1,2,0,1,,1,0,1,0,0,0,1,0,1,1,0,0,,,
physicist,technological invention,occupation,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
police officer,painting,occupation,creative_work,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
police officer,website,occupation,creative_work,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
politician,animation feature film,occupation,creative_work,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
politician,website,occupation,creative_work,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
researcher,play,occupation,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
researcher,website,occupation,creative_work,-1,2,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,,,
school teacher,board game,occupation,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
school teacher,film,occupation,creative_work,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
school teacher,painting,occupation,creative_work,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
school teacher,video game,occupation,creative_work,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
actor,dam,occupation,geographical_entity,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
actor,island,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
actor,zoo,occupation,geographical_entity,1,2,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,,,
airline pilot,highway,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
airline pilot,world heritage site,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
architect,dam,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
architect,island,occupation,geographical_entity,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
architect,volcano,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
dentist,dam,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
dentist,island,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
dentist,volcano,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
fashion designer,lake,occupation,geographical_entity,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
fashion designer,nuclear power plant,occupation,geographical_entity,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
fashion designer,world heritage site,occupation,geographical_entity,1,2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,,,
journalist,highway,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
journalist,national park,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
journalist,world heritage site,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
lawyer,island,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
lawyer,volcano,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NBA player,castle,occupation,geographical_entity,-1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
nurse,airport,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
nurse,city,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
physicist,highway,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
physicist,island,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
physicist,national park,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
physicist,world heritage site,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
police officer,airport,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
police officer,city,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
politician,airport,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
politician,dam,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
politician,volcano,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
politician,zoo,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
researcher,city,occupation,geographical_entity,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,
researcher,volcano,occupation,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
school teacher,castle,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
school teacher,river,occupation,geographical_entity,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
actor,bicycle,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
actor,oil tanker,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
actor,satellite,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
actor,skyscraper,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
airline pilot,observatory,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
airline pilot,percussion instrument,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
airline pilot,submarine,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
architect,bicycle,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
architect,oil tanker,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
architect,satellite,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
architect,skyscraper,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
architect,spacecraft,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
astronaut,helicopter,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
astronaut,merchant ship,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
astronaut,space station,occupation,man-made_object,1,2,1,1,,1,1,1,1,1,1,0,0,0,1,1,1,,,
astronaut,wind turbine,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
dentist,bicycle,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
dentist,oil tanker,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
dentist,satellite,occupation,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
dentist,skyscraper,occupation,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
dentist,spacecraft,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
fashion designer,observatory,occupation,man-made_object,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
fashion designer,percussion instrument,occupation,man-made_object,1,2,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,,,
fashion designer,submarine,occupation,man-made_object,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
journalist,satellite,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
lawyer,bicycle,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
lawyer,oil tanker,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,satellite,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,skyscraper,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,spacecraft,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NBA player,industrial robot,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
nurse,helicopter,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
nurse,smartphone,occupation,man-made_object,-1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
physicist,satellite,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
physicist,skyscraper,occupation,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
police officer,smartphone,occupation,man-made_object,-1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
politician,bicycle,occupation,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
politician,oil tanker,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
politician,skyscraper,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
politician,smartphone,occupation,man-made_object,-1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
politician,spacecraft,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
researcher,helicopter,occupation,man-made_object,1,2,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,,,
researcher,smartphone,occupation,man-made_object,-1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
school teacher,wind turbine,occupation,man-made_object,1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
actor,NBA player,occupation,occupation,1,2,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,,,
architect,NBA player,occupation,occupation,1,2,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,,,
astronaut,airline pilot,occupation,occupation,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
astronaut,fashion designer,occupation,occupation,-1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
fashion designer,nurse,occupation,occupation,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
fashion designer,school teacher,occupation,occupation,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
journalist,NBA player,occupation,occupation,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,NBA player,occupation,occupation,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NBA player,dentist,occupation,occupation,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
physicist,NBA player,occupation,occupation,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
physicist,school teacher,occupation,occupation,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
school teacher,airline pilot,occupation,occupation,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
actor,airline,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
actor,publisher,occupation,organization,1,2,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,,,
actor,university,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
airline pilot,coal power plant,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
airline pilot,tea company,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
architect,airline,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
architect,conglomerate,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
architect,football club,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
astronaut,fast food restaurant,occupation,organization,-1,2,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
dentist,airline,occupation,organization,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
dentist,coal power plant,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
dentist,conglomerate,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
dentist,football club,occupation,organization,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
fashion designer,animation studio,occupation,organization,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
fashion designer,cryptocurrency exchange,occupation,organization,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
fashion designer,tea company,occupation,organization,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
journalist,airline,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
journalist,coal power plant,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
journalist,conglomerate,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
journalist,football club,occupation,organization,1,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,airline,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,conglomerate,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,publisher,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lawyer,university,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NBA player,cooperative,occupation,organization,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
NBA player,fast food restaurant,occupation,organization,-1,2,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
nurse,bank,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
nurse,hospital,occupation,organization,1,2,1,0,,0,0,0,1,1,1,1,1,1,1,1,1,,,
nurse,travel agency,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
nurse,university,occupation,organization,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
physicist,airline,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
physicist,coal power plant,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
physicist,conglomerate,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
physicist,football club,occupation,organization,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
physicist,tea company,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
police officer,bank,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
police officer,university,occupation,organization,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
politician,bank,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
politician,publisher,occupation,organization,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
researcher,bank,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
researcher,publisher,occupation,organization,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,,
school teacher,travel agency,occupation,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
airline,film,organization,creative_work,-1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
airline,patent,organization,creative_work,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
airline,religious text,organization,creative_work,1,2,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,,,
airline,video game,organization,creative_work,-1,2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,,,
bank,mobile app,organization,creative_work,-1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
bank,national dance,organization,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
coal power plant,film,organization,creative_work,-1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
